hexal_id,receptor_channel,raytracer_receptor_type,node_id,node_type,u,v,frame_id,global_indices,lens_indices,receptor_type,position_x_um,position_y_um,position_z_um,direction_x,direction_y,direction_z,colours_r_uv,colours_g,colours_b,intensity,matched
174,6,6,4500,R7,-7,10,1,1224,174,6,-351.7901611328125,-35.51826477050781,156.6119842529297,-0.4481796622276306,-0.1299093067646026,0.8844538331031799,0.1084893643856048,0.0101429456844925,0.0129233328625559,0.0438518822193145,True
174,7,6,5221,R8,-7,10,1,1224,174,6,-351.7901611328125,-35.51826477050781,156.6119842529297,-0.4481796622276306,-0.1299093067646026,0.8844538331031799,0.1084893643856048,0.0101429456844925,0.0129233328625559,0.0438518822193145,True
175,0,0,175,R1,-7,11,1,1225,175,0,-368.4508972167969,-25.946983337402344,148.56300354003906,-0.463360071182251,-0.0331718623638153,0.885549008846283,0.1971347332000732,0.1658512204885482,0.1494793146848678,0.1708217710256576,True
175,1,1,896,R2,-7,11,1,1226,175,1,-368.4508972167969,-25.946983337402344,148.56300354003906,-0.5407111048698425,-0.0023477324284613,0.8412051200866699,0.2064520567655563,0.1981391161680221,0.2017204463481903,0.2021038681268692,True
175,2,2,1617,R3,-7,11,1,1227,175,2,-368.4508972167969,-25.946983337402344,148.56300354003906,-0.6134079694747925,0.0184069667011499,0.7895516753196716,0.1737067848443985,0.1847800463438034,0.199899137020111,0.1861286610364914,True
175,3,3,2338,R4,-7,11,1,1228,175,3,-368.4508972167969,-25.946983337402344,148.56300354003906,-0.5928192734718323,-0.0709758773446083,0.8022018074989319,0.1772907972335815,0.1167041659355163,0.0701824128627777,0.1213924586772918,True
175,4,4,3059,R5,-7,11,1,1229,175,4,-368.4508972167969,-25.946983337402344,148.56300354003906,-0.5692564249038696,-0.1579941213130951,0.8068363666534424,0.1407146155834198,0.0793229863047599,0.0350277796387672,0.0850217938423156,True
175,5,5,3780,R6,-7,11,1,1230,175,5,-368.4508972167969,-25.946983337402344,148.56300354003906,-0.4942741990089416,-0.1818645596504211,0.8500695824623108,0.1096458509564399,0.0565490387380123,0.0231631509959697,0.0631193444132804,True
175,6,6,4501,R7,-7,11,1,1231,175,6,-368.4508972167969,-25.946983337402344,148.56300354003906,-0.5205305218696594,-0.0959616005420684,0.8484334945678711,0.1565743088722229,0.0174942556768655,0.0287453979253768,0.0676046535372734,True
175,7,6,5222,R8,-7,11,1,1231,175,6,-368.4508972167969,-25.946983337402344,148.56300354003906,-0.5205305218696594,-0.0959616005420684,0.8484334945678711,0.1565743088722229,0.0174942556768655,0.0287453979253768,0.0676046535372734,True
